ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
9, 25, 4, 21, 25, 9, 11, 22, 9, 6, 11, 7, 9, 6, 9, 9, 9, 1, 2, 9, 5, 9, 9, 3, 9, 9
9, 0, 13, 13, 1, 3, 9, 9, 9, 1, 9, 9, 6, 9, 3, 13, 9, 9, 9, 6, 5, 9, 3, 2, 9, 9
10, 5, 5, 3, 1, 30, 4, 10, 10, 8, 13, 5, 10, 17, 10, 10, 13, 10, 10, 10, 10, 18, 10, 10, 10, 10
10, 9, 17, 4, 8, 30, 17, 18, 10, 8, 8, 10, 10, 10, 7, 10, 10, 10, 14, 10, 10, 10, 10, 10, 10, 10
10, 17, 13, 16, 12, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 13, 22, 10, 10, 10, 10, 10, 13, 10
10, 13, 20, 23, 11, 15, 18, 10, 11, 7, 13, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 10
10, 28, 7, 26, 12, 13, 10, 20, 13, 13, 10, 10, 5, 13, 10, 22, 10, 30, 10, 10, 10, 10, 10, 10, 10, 10
10, 2, 28, 2, 3, 26, 26, 26, 11, 9, 13, 10, 10, 26, 10, 13, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10
10, 5, 2, 3, 10, 14, 10, 10, 15, 10, 12, 10, 7, 10, 15, 2, 10, 13, 3, 6, 10, 10, 10, 8, 10, 10
10, 15, 23, 3, 20, 10, 10, 10, 10, 10, 10, 13, 10, 10, 10, 10, 10, 10, 10, 14, 10, 10, 10, 10, 10, 10
10, 6, 17, 13, 10, 18, 13, 20, 13, 13, 10, 10, 7, 10, 9, 9, 10, 10, 8, 10, 22, 10, 10, 10, 10, 10
10, 31, 8, 29, 10, 24, 10, 5, 20, 10, 10, 18, 10, 10, 10, 10, 10, 10, 22, 10, 10, 13, 10, 10, 10, 10
10, 7, 10, 2, 20, 11, 23, 7, 13, 13, 13, 10, 10, 30, 10, 3, 10, 10, 10, 10, 10, 10, 10, 13, 10, 3
10, 5, 4, 17, 12, 13, 5, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 13, 10, 13
